WeekOfMonth,Make,AccidentArea,DayOfWeekClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
4,6,1,6,4,1,2,29.0,0,1,0,0,0,130,400,3,2,1,5,4,0,0,0,1,3,0,1
2,13,1,1,2,1,2,32.0,0,1,0,0,0,131,400,3,2,2,3,4,0,0,0,2,3,0,1
4,6,1,1,4,1,2,18.0,1,1,0,0,0,132,400,3,2,3,1,2,0,0,0,2,3,0,1
3,13,1,5,4,1,1,60.0,1,1,0,0,0,133,400,3,2,1,6,7,0,0,0,0,3,0,1
3,5,1,1,3,1,1,53.0,0,1,0,5,0,134,400,3,2,3,6,6,0,0,0,2,3,0,1
1,6,1,1,2,1,2,29.0,0,1,0,0,0,135,400,3,2,0,4,4,0,0,0,0,3,0,1
2,13,1,2,2,1,1,29.0,0,1,0,0,0,136,400,3,2,0,5,4,0,0,0,2,3,0,1
2,17,1,6,4,1,1,41.0,1,1,0,0,0,137,400,3,2,0,5,5,0,0,0,2,3,0,1
4,17,1,7,1,1,1,29.0,0,0,0,0,0,138,400,3,2,3,5,4,0,0,0,2,3,0,0
4,11,1,5,1,1,1,42.0,0,0,0,0,0,139,400,3,2,2,5,5,0,0,0,3,3,0,0
5,17,1,1,1,1,1,34.0,0,0,0,4,0,140,400,3,2,3,5,4,0,0,0,0,3,0,0
3,6,1,6,3,1,1,51.0,0,4,1,5,0,141,400,3,2,0,6,6,0,0,0,1,3,0,1
4,13,1,6,1,1,1,32.0,0,0,0,0,0,142,400,3,2,0,4,4,0,0,0,1,3,0,0
5,2,1,1,1,1,1,52.0,0,2,1,0,0,143,400,3,2,3,6,6,0,0,1,1,3,3,2
3,17,1,1,3,1,1,61.0,0,1,0,0,0,144,400,3,2,1,6,7,0,0,0,3,3,0,1
3,17,0,1,4,1,2,25.0,1,2,1,0,0,145,400,3,2,1,3,3,0,0,0,1,3,0,2
1,9,1,1,1,1,1,41.0,0,0,0,1,0,146,400,3,2,3,5,5,0,0,0,3,3,0,0
3,9,1,6,3,1,2,33.0,1,2,1,1,0,147,400,3,2,3,4,4,0,0,0,3,3,0,2
1,17,0,6,3,1,1,39.0,0,0,0,1,1,148,400,3,2,3,6,5,0,0,0,2,4,1,0
1,0,1,5,2,1,2,30.0,0,1,0,1,0,149,400,3,2,3,4,4,0,0,0,3,3,0,1
4,9,1,2,4,1,3,50.0,0,1,0,0,0,150,400,3,2,3,6,6,0,0,0,3,3,0,1
2,13,1,1,2,0,1,31.0,1,1,0,0,0,151,400,3,2,1,5,4,0,0,0,2,3,0,1
2,13,1,6,2,1,2,23.0,0,2,1,1,0,152,400,3,2,2,3,3,0,0,0,1,3,0,2
2,13,1,1,2,1,2,31.0,1,2,1,1,0,153,400,3,2,0,5,4,0,0,0,0,3,0,2
4,6,1,2,1,1,1,50.0,1,0,0,0,0,154,500,3,2,1,5,6,0,0,0,2,1,0,0
5,6,1,2,5,0,2,33.0,1,2,1,0,0,155,400,3,2,1,4,4,0,0,0,3,3,0,2
5,0,1,6,1,1,1,30.0,0,2,1,1,0,156,400,3,2,2,4,4,0,0,0,1,3,0,2
5,9,1,5,1,1,1,44.0,0,1,0,2,0,157,400,3,2,2,6,5,0,0,0,3,3,0,1
4,2,1,6,4,1,1,46.0,0,0,0,5,0,158,400,3,2,0,5,6,0,0,0,2,3,0,0
5,6,1,7,1,1,2,31.0,0,2,1,0,0,159,400,3,2,1,4,4,0,0,0,1,3,0,2
5,6,1,1,5,1,1,48.0,0,2,1,0,0,160,400,3,2,1,6,6,0,0,0,3,3,0,2
2,2,1,1,2,1,1,33.0,0,0,0,5,1,161,400,3,2,3,4,4,0,0,0,3,3,0,0
4,6,1,7,4,1,2,16.5,0,2,1,5,0,162,400,3,2,1,7,0,0,0,0,3,3,0,2
4,2,1,7,4,0,2,37.0,1,2,1,5,0,163,400,3,2,0,5,5,0,0,0,0,3,0,2
4,17,1,5,4,1,1,43.0,1,0,0,4,0,164,400,3,2,3,5,5,0,0,0,3,3,0,0
2,17,1,2,4,0,1,32.0,1,1,0,1,0,165,400,3,2,2,2,4,0,0,0,0,3,2,1
2,17,1,5,2,1,1,57.0,0,2,1,0,0,166,400,3,2,1,6,7,0,0,0,1,3,0,2
3,6,1,2,3,1,1,65.0,1,0,0,0,0,167,400,3,2,0,6,7,0,0,0,3,3,0,0
2,17,1,2,2,0,2,27.0,0,1,0,0,0,168,400,3,2,3,4,4,0,0,0,0,3,0,1
4,12,0,7,2,1,1,42.0,0,6,2,5,0,169,400,3,2,1,6,5,0,0,0,3,2,1,0
3,6,1,2,4,1,1,57.0,0,2,1,0,0,170,400,3,2,1,6,7,0,0,0,2,3,0,2
4,13,1,7,5,1,2,32.0,0,0,0,0,0,171,400,3,2,3,5,4,0,0,0,2,3,0,0
1,9,1,2,3,1,2,29.0,0,2,1,0,0,172,400,3,2,1,5,4,0,0,0,2,3,0,2
2,18,1,6,4,1,1,36.0,0,1,0,1,0,173,400,3,2,3,5,5,0,0,0,3,3,0,1
2,17,1,2,2,1,2,28.0,0,2,1,1,0,174,400,3,2,1,4,4,0,0,0,0,3,0,2
1,6,1,6,2,0,2,32.0,0,0,0,4,0,175,400,3,2,0,4,4,0,0,0,0,3,0,0
1,2,1,5,2,1,2,33.0,0,0,0,0,0,176,400,3,2,3,4,4,0,0,0,3,3,0,0
2,15,1,7,2,1,1,37.0,0,0,0,1,0,177,400,3,2,1,6,5,0,0,0,1,3,0,0
5,6,1,7,1,0,2,26.0,0,2,1,0,0,178,400,3,2,2,4,4,0,0,0,2,3,0,2
3,2,1,7,3,1,1,53.0,0,0,0,0,0,179,400,3,2,0,6,6,0,0,0,0,3,0,0
3,11,0,6,3,1,1,53.0,1,0,0,0,0,180,400,3,2,0,6,6,0,0,0,3,3,0,0
3,5,1,6,3,1,1,74.0,0,0,0,4,0,181,400,3,2,1,6,8,0,0,0,0,3,0,0
3,13,1,5,4,1,1,50.0,0,1,0,0,0,182,400,3,2,0,5,6,0,0,0,3,3,0,1
2,9,1,1,2,1,2,27.0,1,0,0,0,0,183,400,3,2,3,4,4,0,0,0,3,0,0,0
2,17,1,6,1,1,1,48.0,1,0,0,0,0,184,400,3,2,2,6,6,0,0,0,2,3,0,0
1,2,1,6,1,0,2,55.0,1,0,0,0,0,185,400,3,2,3,5,6,0,0,0,1,3,0,0
1,13,1,7,1,1,1,48.0,0,0,0,0,0,186,400,3,2,3,6,6,0,0,0,2,3,0,0
1,6,1,7,2,1,2,16.5,1,2,1,5,0,187,400,3,2,1,7,0,0,0,0,3,3,0,2
5,13,1,1,2,1,1,54.0,1,2,1,0,0,188,400,3,2,0,5,6,0,0,0,3,3,0,2
1,2,1,2,1,1,1,36.0,0,2,1,1,0,189,400,3,2,2,5,5,0,0,0,2,3,0,2
2,9,1,2,1,1,1,43.0,0,0,0,1,1,190,400,3,2,1,6,5,0,0,0,3,2,1,0
5,9,1,6,1,1,1,41.0,0,1,0,1,0,191,400,3,2,3,6,5,0,0,0,1,3,0,1
4,17,1,7,4,1,1,48.0,0,0,0,0,0,192,400,3,2,1,6,6,0,0,0,1,3,0,0
3,2,1,2,2,1,1,26.0,0,6,2,5,1,193,400,3,2,3,4,4,0,0,0,0,3,0,0
2,17,1,2,3,0,1,43.0,0,0,0,0,0,194,400,3,2,3,4,5,0,0,0,3,3,0,0
3,6,1,2,1,1,1,39.0,0,4,1,5,1,195,400,3,2,3,6,5,0,0,0,3,3,0,1
1,2,1,7,2,1,1,49.0,1,1,0,1,0,196,400,3,2,0,6,6,0,0,0,2,3,0,1
1,6,1,2,3,1,1,37.0,1,1,0,1,0,197,400,3,2,1,5,5,0,0,0,3,3,0,1
1,9,1,5,2,1,1,36.0,1,1,0,0,0,198,400,3,2,1,5,5,0,0,0,2,3,0,1
1,13,1,1,2,0,1,52.0,0,0,0,0,0,199,400,3,2,1,4,6,0,0,0,2,3,0,0
4,13,1,2,2,1,1,29.0,1,0,0,4,0,200,400,3,2,3,4,4,0,0,0,0,3,0,0
4,9,1,2,1,1,1,38.0,1,1,0,0,0,201,400,3,2,3,6,5,0,0,0,3,3,0,1
4,9,1,6,1,1,2,34.0,0,1,0,0,0,202,400,3,2,0,4,4,0,0,0,3,3,0,1
4,6,0,1,2,1,2,16.5,0,1,0,5,0,203,400,3,2,1,7,0,0,0,0,3,3,0,1
1,6,0,6,1,1,1,41.0,0,2,1,1,0,204,400,3,2,3,5,5,0,0,0,3,3,0,2
3,13,1,6,3,1,1,41.0,1,0,0,4,1,205,500,4,2,1,5,5,0,0,0,3,1,0,0
4,13,1,6,1,1,1,64.0,0,1,0,0,0,206,400,3,2,0,6,7,0,0,0,3,3,2,1
3,13,1,2,2,1,1,27.0,0,1,0,5,1,207,400,3,2,1,2,4,0,0,0,0,3,0,1
5,9,1,2,1,1,2,25.0,0,1,0,5,0,208,400,3,2,1,3,3,0,0,0,1,3,0,1
1,17,1,6,2,1,2,21.0,1,1,0,0,0,209,400,3,2,0,3,3,0,0,0,3,3,0,1
4,13,0,7,3,1,1,31.0,1,0,0,4,0,210,400,3,2,3,4,4,0,0,0,3,3,0,0
3,13,1,2,3,1,2,39.0,0,1,0,0,0,211,400,3,2,3,6,5,0,0,0,2,2,1,1
4,6,0,2,5,0,1,37.0,1,0,0,4,0,212,400,3,2,3,3,5,0,0,0,1,3,0,0
3,0,1,6,3,1,1,41.0,0,1,0,0,0,213,400,3,2,2,5,5,0,0,0,0,3,0,1
2,13,1,7,3,1,1,37.0,0,0,0,0,0,214,400,3,2,3,5,5,0,0,0,0,3,0,0
4,9,0,2,4,1,1,28.0,0,1,0,1,0,215,400,3,2,1,5,4,0,0,0,1,3,0,1
1,2,1,2,2,1,1,57.0,0,1,0,0,0,216,400,3,2,3,6,7,0,0,0,2,3,0,1
1,17,1,6,3,1,1,61.0,0,1,0,0,0,217,400,1,2,3,6,7,1,0,0,3,3,0,1
5,9,1,6,5,1,1,69.0,0,2,1,0,0,218,700,3,2,2,6,8,0,0,0,0,3,0,2
5,6,1,5,2,1,1,67.0,0,1,0,0,0,219,400,3,2,0,6,8,0,0,0,0,3,0,1
1,2,1,2,1,1,1,52.0,0,0,0,5,0,220,400,3,2,0,6,6,0,0,0,1,3,0,0
4,17,1,5,1,1,2,23.0,0,2,1,0,0,221,400,3,2,1,4,3,0,0,0,1,3,0,2
4,13,1,1,4,1,1,38.0,0,2,1,4,0,222,400,3,2,2,5,5,0,0,0,3,3,0,2
2,17,1,7,2,1,1,32.0,1,1,0,0,0,223,400,3,2,1,5,4,0,0,0,3,3,0,1
2,6,1,6,2,1,1,26.0,0,2,1,0,0,224,400,3,2,2,4,4,0,0,0,2,3,0,2
2,17,1,6,2,1,1,57.0,0,0,0,0,0,225,400,3,2,1,6,7,0,0,0,3,3,0,0
3,13,1,2,3,1,1,29.0,0,2,1,5,0,226,400,3,2,1,4,4,0,0,0,3,3,0,2
3,15,1,7,4,1,1,26.0,1,1,0,1,0,227,400,1,2,3,5,4,0,0,0,3,3,4,1
3,18,1,6,5,0,2,30.0,0,1,0,5,0,228,400,3,2,1,4,4,0,0,0,1,3,0,1
4,13,0,7,1,1,1,41.0,0,1,0,0,1,229,400,3,2,0,5,5,0,0,0,1,3,0,1
4,13,1,5,4,1,1,65.0,0,2,1,5,0,230,400,3,2,2,5,7,0,0,0,1,3,0,2
2,13,1,5,4,1,1,33.0,0,1,0,0,0,231,400,3,2,3,4,4,0,0,0,3,3,0,1
2,9,1,1,2,1,1,44.0,0,0,0,0,0,232,400,3,2,1,4,5,0,0,0,3,2,1,0
4,2,1,2,1,1,1,26.0,0,1,0,0,1,233,400,3,2,1,5,4,0,0,0,3,3,0,1
5,18,1,6,1,1,1,32.0,1,1,0,5,0,234,400,3,2,3,4,4,0,0,0,0,3,0,1
4,11,1,1,4,1,1,29.0,0,0,0,4,0,235,400,3,2,3,4,4,0,0,0,3,3,0,0
4,2,1,6,2,1,1,26.0,0,0,0,0,1,236,400,3,2,3,4,4,0,0,0,1,3,0,0
1,13,0,5,1,0,2,37.0,0,1,0,0,0,237,400,3,2,1,5,5,0,1,0,2,3,0,1
1,13,1,1,1,1,1,33.0,0,2,1,0,0,238,400,3,2,0,4,4,0,0,0,1,3,0,2
3,13,1,3,4,1,1,54.0,0,0,0,0,0,239,400,3,2,3,6,6,0,0,0,1,3,0,0
3,9,1,6,3,1,2,26.0,0,2,1,1,0,240,400,3,2,2,5,4,0,0,0,2,3,0,2
3,2,1,6,3,1,2,32.0,0,2,1,0,0,241,400,3,2,1,4,4,0,0,0,0,3,0,2
3,9,1,2,3,0,2,25.0,0,2,1,0,0,242,400,3,2,1,2,3,0,0,0,0,4,0,2
